令和5年1月1日住民基本台帳年齢階級別人口（都道府県別）（総計）,,,,,,,,,,,,,,,,,,,,,,,,
,,,総数,0歳～4歳,5歳～9歳,10歳～14歳,15歳～19歳,20歳～24歳,25歳～29歳,30歳～34歳,35歳～39歳,40歳～44歳,45歳～49歳,50歳～54歳,55歳～59歳,60歳～64歳,65歳～69歳,70歳～74歳,75歳～79歳,80歳～84歳,85歳～89歳,90歳～94歳,95歳～99歳,100歳以上
370002,香川県,女,493466 ,15735 ,18879 ,20534 ,21673 ,21658 ,20073 ,21441 ,25546 ,28830 ,35658 ,33871 ,28772 ,29209 ,31218 ,41686 ,32304 ,25901 ,21740 ,13224 ,4642 ,847 
380008,愛媛県,計,1327185 ,41632 ,51508 ,57707 ,58954 ,56921 ,54724 ,59182 ,69859 ,78560 ,95396 ,92871 ,82583 ,84891 ,89836 ,114197 ,83339 ,66759 ,50095 ,27659 ,8994 ,1456 
380008,愛媛県,男,631184 ,21407 ,26536 ,29472 ,30224 ,29025 ,28438 ,30378 ,35046 ,39611 ,47931 ,45861 ,39786 ,40927 ,42678 ,53322 ,36974 ,26847 ,17286 ,7518 ,1718 ,180 
380008,愛媛県,女,696001 ,20225 ,24972 ,28235 ,28730 ,27896 ,26286 ,28804 ,34813 ,38949 ,47465 ,47010 ,42797 ,43964 ,47158 ,60875 ,46365 ,39912 ,32809 ,20141 ,7276 ,1276 
390003,高知県,計,684964 ,20718 ,25052 ,27248 ,29386 ,28265 ,26078 ,27517 ,34245 ,39470 ,48961 ,47383 ,41612 ,44480 ,47664 ,60647 ,47117 ,36853 ,28455 ,16808 ,5664 ,947 
390003,高知県,男,324171 ,10581 ,12780 ,14007 ,15078 ,14755 ,13677 ,13943 ,17214 ,19956 ,24664 ,23414 ,20157 ,21468 ,22887 ,28541 ,20887 ,14827 ,9671 ,4374 ,1020 ,78 
390003,高知県,女,360793 ,10137 ,12272 ,13241 ,14308 ,13510 ,12401 ,13574 ,17031 ,19514 ,24297 ,23969 ,21455 ,23012 ,24777 ,32106 ,26230 ,22026 ,18784 ,12434 ,4644 ,869 
400009,福岡県,計,5104921 ,197014 ,229561 ,239333 ,235304 ,269142 ,264441 ,267420 ,307815 ,337451 ,376023 ,359065 ,302699 ,295489 ,308735 ,377974 ,268169 ,215326 ,149711 ,76592 ,23604 ,3894 
400009,福岡県,男,2429986 ,100337 ,117862 ,122396 ,119977 ,135744 ,130675 ,132288 ,152773 ,167612 ,186516 ,176684 ,146100 ,142370 ,147153 ,174804 ,116857 ,85780 ,49743 ,19706 ,4148 ,394 
400009,福岡県,女,2674935 ,96677 ,111699 ,116937 ,115327 ,133398 ,133766 ,135132 ,155042 ,169839 ,189507 ,182381 ,156599 ,153119 ,161582 ,203170 ,151312 ,129546 ,99968 ,56886 ,19456 ,3500 
410004,佐賀県,計,806877 ,30815 ,36317 ,39368 ,39093 ,38074 ,35160 ,37287 ,45018 ,49585 ,54284 ,51337 ,48453 ,52415 ,56823 ,64791 ,43355 ,36052 ,27758 ,15162 ,4908 ,793 
410004,佐賀県,男,384466 ,15761 ,18667 ,20109 ,19954 ,19255 ,17919 ,18728 ,22562 ,24802 ,27106 ,25220 ,23292 ,25260 ,27333 ,30765 ,19221 ,14156 ,9441 ,3966 ,862 ,79 
410004,佐賀県,女,422411 ,15054 ,17650 ,19259 ,19139 ,18819 ,17241 ,18559 ,22456 ,24783 ,27178 ,26117 ,25161 ,27155 ,29490 ,34026 ,24134 ,21896 ,18317 ,11196 ,4046 ,714 
420000,長崎県,計,1306060 ,45791 ,55098 ,58953 ,59017 ,54336 ,50622 ,56459 ,67593 ,74723 ,85655 ,86502 ,82434 ,89902 ,97555 ,112963 ,76710 ,65247 ,49710 ,26660 ,8725 ,1354 
420000,長崎県,男,616597 ,23490 ,28251 ,30393 ,30179 ,27714 ,25688 ,28305 ,33540 ,36812 ,42110 ,42067 ,39356 ,43422 ,47011 ,53375 ,33700 ,25340 ,17217 ,7007 ,1483 ,117 
420000,長崎県,女,689463 ,22301 ,26847 ,28560 ,28838 ,26622 ,24934 ,28154 ,34053 ,37911 ,43545 ,44435 ,43078 ,46480 ,50544 ,59588 ,43010 ,39907 ,32493 ,19653 ,7242 ,1237 
430005,熊本県,計,1737946 ,65656 ,77957 ,82386 ,80222 ,77846 ,75190 ,81584 ,96898 ,104954 ,115298 ,108614 ,105645 ,112648 ,122133 ,138247 ,96748 ,81014 ,65159 ,35631 ,11929 ,2006 
430005,熊本県,男,826248 ,33407 ,39829 ,42331 ,40970 ,39366 ,38017 ,40638 ,48195 ,52434 ,57357 ,53097 ,50483 ,54201 ,59162 ,65719 ,43420 ,32108 ,23060 ,9867 ,2281 ,243 
430005,熊本県,女,911698 ,32249 ,38128 ,40055 ,39252 ,38480 ,37173 ,40946 ,48703 ,52520 ,57941 ,55517 ,55162 ,58447 ,62971 ,72528 ,53328 ,48906 ,42099 ,25764 ,9648 ,1763 
440001,大分県,計,1123525 ,37662 ,45658 ,49690 ,50390 ,50933 ,47288 ,49863 ,60041 ,67223 ,77834 ,73953 ,66222 ,70824 ,78300 ,95777 ,69644 ,56307 ,43288 ,23829 ,7608 ,1144 
440001,大分県,男,536042 ,19132 ,23465 ,25423 ,25811 ,26564 ,24810 ,25571 ,30601 ,34006 ,39187 ,36479 ,31807 ,34022 ,37629 ,44897 ,30798 ,22668 ,14916 ,6685 ,1436 ,117 
440001,大分県,女,587483 ,18530 ,22193 ,24267 ,24579 ,24369 ,22478 ,24292 ,29440 ,33217 ,38647 ,37474 ,34415 ,36802 ,40671 ,50880 ,38846 ,33639 ,28372 ,17144 ,6172 ,1027 
450006,宮崎県,計,1068838 ,39252 ,47124 ,51428 ,49720 ,44280 ,42346 ,46497 ,57032 ,64566 ,72528 ,67220 ,63402 ,70472 ,78404 ,90712 ,61595 ,51410 ,40726 ,21807 ,7028 ,1185 
450006,宮崎県,男,506845 ,20040 ,24050 ,26197 ,25409 ,22531 ,21722 ,23111 ,28146 ,32107 ,36082 ,32757 ,30362 ,33829 ,37585 ,42723 ,27528 ,20787 ,14368 ,6039 ,1296 ,134 
450006,宮崎県,女,561993 ,19212 ,23074 ,25231 ,24311 ,21749 ,20624 ,23386 ,28886 ,32459 ,36446 ,34463 ,33040 ,36643 ,40819 ,47989 ,34067 ,30623 ,26358 ,15768 ,5732 ,1051 
460001,鹿児島県,計,1591699 ,59183 ,71194 ,76664 ,73264 ,63602 ,62899 ,71028 ,87368 ,95846 ,102546 ,97546 ,97606 ,108361 ,122375 ,131264 ,86647 ,74955 ,60912 ,34725 ,11426 ,1957 
460001,鹿児島県,男,753521 ,30104 ,36506 ,39385 ,37429 ,31499 ,31184 ,34280 ,42721 ,46729 ,50579 ,47180 ,46812 ,52648 ,59821 ,64030 ,39153 ,30339 ,21363 ,9338 ,2100 ,202 
460001,鹿児島県,女,838178 ,29079 ,34688 ,37279 ,35835 ,32103 ,31715 ,36748 ,44647 ,49117 ,51967 ,50366 ,50794 ,55713 ,62554 ,67234 ,47494 ,44616 ,39549 ,25387 ,9326 ,1755 
470007,沖縄県,計,1485526 ,74197 ,84017 ,85579 ,80519 ,77038 ,77113 ,82223 ,94909 ,97465 ,107928 ,101733 ,88406 ,90030 ,92019 ,91764 ,51011 ,48272 ,36113 ,18006 ,5574 ,1304 
470007,沖縄県,男,732694 ,38171 ,42887 ,43594 ,41204 ,39567 ,39145 ,41188 ,47300 ,48500 ,54610 ,51149 ,44100 ,45258 ,46033 ,45406 ,23588 ,20883 ,13612 ,5213 ,971 ,153 
470007,沖縄県,女,752832 ,36026 ,41130 ,41985 ,39315 ,37471 ,37968 ,41035 ,47609 ,48965 ,53318 ,50584 ,44306 ,44772 ,45986 ,46358 ,27423 ,27389 ,22501 ,12793 ,4603 ,1151 
注1：外国人住民の「男性総数が１～９人」「女性総数が１～９人」「男女計総数が49人以下」のいずれかに該当する市区町村における５歳ごと等の内訳は、非公表である,,,,,,,,,,,,,,,,,,,,,,,,
注2：注1に該当する市区町村を含む都道府県等における５歳ごと等の内訳は、非公表の市区町村分を含まないため、総数と５歳ごと等の内訳の合計が合わない,,,,,,,,,,,,,,,,,,,,,,,,
